QKEY,F_AGECAT,F_SEX,F_HISP
201801127720,3,2,2
201801127787,2,2,2
201801128070,1,2,2
201801128763,2,2,2
201801129310,3,2,2
201801129454,3,1,2
201801129772,2,2,2
201801129817,2,1,2
201801130345,4,2,2
201801130743,3,2,2
201801131013,2,2,2
201801131028,3,1,2
201801131043,4,1,2
201801131254,2,2,2
201801131489,2,1,2
201801131584,2,1,2
201801131658,4,1,2
201801131668,4,1,2
201801132099,4,1,2
201801132129,2,1,2
201801132283,4,2,2
201801132299,3,2,2
201801132395,2,1,2
201801132584,2,2,2
201801132622,2,1,2
201801132821,2,1,2
201801133036,3,1,2
201801133366,2,1,2
201801133605,2,2,2
201801133650,3,2,2
201801133652,2,2,2
201801133702,3,2,2
201801134212,4,1,2
201801134238,2,1,2
201801134391,1,2,2
201801134506,2,2,2
201801134607,3,1,2
201801134826,4,1,2
201801135075,2,2,2
201801135437,2,1,2
201801135447,3,2,2
201801135572,3,1,2
201801135795,3,1,2
201801135910,4,2,2
201801136313,2,2,2
201801136569,2,2,2
201801136625,3,2,2
201801137096,1,2,2
201801137256,2,2,2
201801137351,2,2,2
201801137378,2,2,2
201801137475,1,2,2
201801137710,4,2,2
201801138058,3,2,2
201801138584,3,2,2
201801138642,4,2,2
201801138719,3,1,2
201801138806,4,1,2
201801138909,3,1,2
201801139007,3,2,2
201801139108,2,1,2
201801139200,1,2,2
201801139212,4,1,2
201801139470,3,1,2
201801139501,3,1,2
201801139520,2,1,2
201801139651,1,1,2
201801139864,2,2,2
201801139979,4,2,2
201801140040,4,2,2
201801140179,1,2,2
201801140297,4,2,2
201801140316,1,1,2
201801140420,2,1,2
201801140489,2,1,2
201801140678,2,2,1
201801140730,1,2,2
201801140880,2,1,2
201801141960,1,2,2
201801141990,2,2,2
201801142030,1,2,1
201801142154,1,2,2
201801142213,2,1,2
201801142276,2,2,2
201801142415,3,2,2
201801143061,4,2,2
201801143477,2,1,2
201801143602,4,2,2
201801143732,2,2,2
201801143774,2,2,2
201801143877,2,1,2
201801144281,3,2,2
201801144388,2,2,2
201801144579,1,1,2
201801144829,2,2,2
201801145066,1,2,2
201801145080,2,2,2
201801145538,3,2,2
201801145664,2,1,2
201801145746,4,1,2
201801146425,4,1,2
201801146661,3,2,2
201801146804,2,2,2
201801146983,3,2,2
201801147256,2,2,2
201801147269,1,1,2
201801148041,3,2,2
201801148386,2,1,2
201801148463,2,1,2
201801148568,2,1,2
201801148600,2,2,2
201801148647,2,1,2
201801148960,1,2,2
201801149020,4,1,2
201801149167,1,1,2
201801149200,2,1,2
201801149311,2,1,2
201801149881,2,1,2
201801150540,4,1,2
201801150894,3,2,2
201801150898,2,1,2
201801151003,3,1,2
201801151181,2,2,2
201801151574,4,2,2
201801152285,3,2,2
201801152583,2,1,2
201801152722,4,1,2
201801153482,4,2,2
201801153722,4,1,99
201801154244,4,2,2
201801154475,2,2,2
201801154489,3,1,2
201801154693,3,2,2
201801155103,2,1,2
201801155599,4,2,2
201801156349,1,1,2
201801156754,3,1,2
201801156839,4,1,2
201801157003,3,1,2
201801157780,3,1,2
201801158083,4,1,2
201801158305,2,1,2
201801158375,2,1,2
201801158493,1,1,2
201801158519,4,1,2
201801159011,4,2,2
201801159059,2,1,2
201801160082,2,2,2
201801160489,4,1,2
201801160694,4,2,2
201801160720,4,1,2
201801160970,4,1,2
201801161092,2,2,2
201801161245,2,1,2
201801161385,4,2,2
201801161390,4,1,2
201801161497,4,2,2
201801161563,1,1,2
201801161723,4,2,2
201801162011,4,1,99
201801162019,4,2,2
201801162385,4,1,2
201801162563,4,2,2
201801162662,2,1,2
201801162752,2,1,2
201801163229,2,2,2
201801163427,2,2,2
201801163541,2,1,2
201801163842,2,1,2
201801164085,3,1,2
201801164477,1,2,1
201801164496,2,2,2
201801164633,2,1,2
201801165331,2,1,2
201801165439,1,1,1
201801165595,2,2,2
201801165882,4,2,2
201801166080,4,1,2
201801166169,4,2,2
201801166266,2,1,2
201801166566,4,2,2
201801166768,3,2,2
201801166797,3,1,2
201801166974,1,2,2
201801167113,2,2,2
201801167288,3,1,2
201801168715,2,2,2
201801168729,2,1,2
201801168767,3,1,2
201801169245,3,1,2
201801169541,2,1,2
201801170559,3,1,2
201801170603,3,1,2
201801171033,3,1,2
201801171205,3,1,2
201801171355,4,2,2
201801171517,2,2,2
201801172077,3,1,2
201801172115,3,1,2
201801172452,2,1,2
201801173027,2,2,1
201801173042,4,1,2
201801173563,3,1,2
201801173759,2,2,2
201801173922,2,2,1
201801173997,2,1,1
201801174279,4,1,99
201801174460,3,1,1
201801174617,1,2,1
201801174766,2,1,2
201801175428,1,1,2
201801175529,4,1,2
201801176007,4,1,2
201801176964,4,1,2
201801177183,4,2,1
201801177349,2,1,2
201801177454,2,1,2
201801177861,3,2,2
201801178264,3,2,2
201801179025,2,2,2
201801179066,3,1,2
201801179165,4,1,2
201801179890,2,2,2
201801180487,3,1,2
201801180691,3,1,99
201801181325,2,1,2
201801181342,3,1,2
201801181583,2,2,2
201801181585,4,2,2
201801181845,3,1,2
201801181993,2,2,2
201801182237,2,1,1
201801182746,4,2,2
201801182789,3,2,2
201801183049,3,1,1
201801183094,4,2,2
201801183153,4,2,2
201801183485,2,2,2
201801184097,3,1,2
201801184699,4,2,2
201801184913,4,1,2
201801185074,3,2,2
201801185148,2,2,2
201801185319,3,1,2
201801185413,2,2,2
201801185489,2,2,2
201801185591,1,1,2
201801185686,1,2,2
201801185994,4,2,2
201801186066,3,2,2
201801186387,4,2,2
201801187127,2,2,2
201801187243,2,1,2
201801187322,3,2,2
201801187605,3,2,2
201801187943,1,1,2
201801188180,2,2,2
201801188328,2,2,2
201801188508,3,2,2
201801188585,3,2,2
201801188616,2,2,2
201801189088,2,1,2
201801189132,4,1,2
201801189182,3,1,2
201801189351,2,2,2
